filename,year,source,imageLink
1896.jpg,1896,https://www.e-rara.ch/gep_r/doi/10.3931/e-rara-90751,https://www.e-rara.ch/gep_r/download/webcache/0/25996257,
1910.jpg,1910,https://www.e-rara.ch/gep_r/doi/10.3931/e-rara-91084,https://www.e-rara.ch/gep_r/download/webcache/0/26038958,
1919.jpg,1919,https://www.e-rara.ch/gep_r/doi/10.3931/e-rara-91152,https://www.e-rara.ch/gep_r/download/webcache/0/26039294,
1930.jpg,1930,https://www.e-rara.ch/gep_r/doi/10.3931/e-rara-91144,https://www.e-rara.ch/gep_r/download/webcache/0/26039254,
1943.jpg,1943,https://www.e-rara.ch/gep_r/doi/10.3931/e-rara-91074,https://www.e-rara.ch/gep_r/download/webcache/0/26038908,
1946a.jpg,1946,https://www.e-rara.ch/gep_r/doi/10.3931/e-rara-91122,https://www.e-rara.ch/gep_r/download/webcache/0/26039146,
1946b.jpg,1946,https://www.e-rara.ch/gep_r/doi/10.3931/e-rara-91075,https://www.e-rara.ch/gep_r/download/webcache/0/26038913,
1949.jpg,1949,https://www.e-rara.ch/gep_r/doi/10.3931/e-rara-91162,https://www.e-rara.ch/gep_r/download/webcache/0/26039346,
1950.jpg,1950,https://www.e-rara.ch/gep_r/doi/10.3931/e-rara-91160,https://www.e-rara.ch/gep_r/download/webcache/0/26039337,
1961.jpg,1961,https://www.e-rara.ch/gep_r/doi/10.3931/e-rara-91100,https://www.e-rara.ch/gep_r/download/webcache/0/26039036,
1965.jpg,1965,https://www.e-rara.ch/gep_r/doi/10.3931/e-rara-91085,https://www.e-rara.ch/gep_r/download/webcache/0/26038963,
1970.jpg,1970,https://www.e-rara.ch/gep_r/doi/10.3931/e-rara-91086,https://www.e-rara.ch/gep_r/download/webcache/0/26038968
